workerid,proliferate.condition,prolificPid,error
371,1,00b6b91d-c323-48f5-a67d-d116449aca36,
402,1,17e0a2b0-224c-419f-9442-8f917d493045,
447,1,24a207d5-1d65-42a8-899f-72acd558f93c,
442,1,28739d32-ad21-40f2-94aa-677e120417cf,
398,1,3389c68c-e5d7-424b-b3fe-e7541a0ea7ac,
394,1,6d3901f8-150b-420e-a04f-5221bd357a9b,
476,1,79c406fb-1e29-4c30-81ec-08aaf6273801,
458,1,8585e738-8360-46a4-8a25-5da26020c895,
427,1,9b4e7db5-40d4-49c1-b6b1-390c0d733bff,
412,1,9da81981-cbde-4583-adf2-9cdcb66c3766,
422,1,a0118d34-ec6e-4744-9e72-2f08add09830,
378,1,a290b69a-59cc-4b70-b77e-60bf20c24d1f,
432,1,b4732dcc-effb-4ba1-9b52-574ad031e4ce,
393,1,bec01670-48b4-46fb-8920-eda3cbe1e5ac,
463,1,c69cc4ce-b60b-49e2-a38f-079f751ba72b,
417,1,ce7806ce-d052-4f55-b0f1-d9324da93fe9,
452,1,d9175f00-ecf3-4f32-b62b-71941829aed9,
407,1,dd153339-23b6-4cd6-96fa-d7268b97670b,
473,1,e1aa90ce-a456-4412-95a0-427c31f320d9,
437,1,fc493379-8340-4f05-95e2-bfb1bd205f19,
404,0,15f57bdb-2f85-4bd1-a381-1910682dda42,
392,0,1dc614e7-0f9f-4369-ac83-70e0b7cf12ec,
459,0,35cf0a1d-cc65-469d-b0c1-75b0e1aefa0c,
409,0,38ff258f-7770-4cda-8bf5-49b1ddfeecbf,
449,0,39cce54d-7b74-4917-9bc6-1455fb464604,
399,0,530c0004-ae9c-40ac-a119-f2594701ed8b,
387,0,59cd58d0-88dc-47db-a5f0-ce9542ad952a,
429,0,6146018e-3eb9-4de0-8eab-4887af7f25bb,
377,0,62dcb3d4-12d2-44d8-b969-21bfc1ad5708,
373,0,709508fe-ad4d-4cee-be12-7aaa585e0658,
414,0,9b6d9e63-14e8-4774-850a-425b87893c1b,
382,0,bf33e4cb-0e0d-49be-98d4-ef53eaac642d,
439,0,c66c2eb9-86c9-403b-9f42-e7659f5f471b,
469,0,d53f1ade-0905-4776-b2e0-755eae9eb69c,
444,0,e34a3fd6-23bc-4863-9dfa-9fee147dc415,
454,0,e3c4322b-804b-4225-9bc9-e3e7a3a2d6c0,
464,0,e92eb7f9-d926-4731-996a-3d570e3343b4,
419,0,f1697fb9-91f0-438f-b93d-cd9dcebd59de,
424,0,f9a99b15-6741-44c1-8db0-d94b84f1f2b6,
434,0,fe2e07a4-b15f-4d13-8b97-35297edbd626,
408,4,0ecb2d3b-12cb-48c6-876f-37b81a3b822b,
433,4,164b1dd4-b338-43f7-8237-49cd75057269,
472,4,2597ea1a-4224-4369-9feb-252536e757ed,
448,4,3fd80e69-56bc-4f80-a56f-300dafee792c,
453,4,632618e9-10db-4ed6-9fb0-587a07b442b4,
372,4,80b204b9-afd5-4776-9d5b-d3dff6e048c6,
443,4,81aaeb1d-b52c-4e44-b846-984df7330f22,
457,4,89b4f9f2-a030-439d-bb6f-aa71def9d04f,
376,4,9288142d-31a5-4207-a63a-5920af5f3a36,
462,4,abd443f8-9a00-454e-b03f-8e487bea3c30,
413,4,b09588c6-eb9a-404f-a1ec-5efd215659fd,
381,4,bbe4ad67-ea06-4718-a79a-b6cdc088049c,
423,4,c118f1af-8227-4545-b208-036bad63cfbe,
438,4,c9fe4724-07ed-4e55-97a3-c5504cca891a,
428,4,db1d43c2-dd62-4342-a5f3-e717461d15d9,
465,4,db9c67d1-0e10-4d19-ac7c-cb733f9526c1,
391,4,dc4da8ca-9bc4-496d-8c96-6fd5b112233e,
403,4,e688a96b-87a8-48ec-ae67-c64e5f4e50ea,
386,4,e90c2256-7a94-4e41-bc1b-7679f1d87993,
397,4,f016204e-e6c0-4fb9-8775-a95ec0d308cb,
385,2,0b3f0439-20cd-42a0-8981-cc730ced20e8,
396,2,144f8914-68d3-432d-b6a0-cc06968f49cf,
390,2,1a85ca09-d5a6-4d6a-9e53-ec51d461efbb,
426,2,24ce0313-723a-480d-b86b-5f1ef9115a7c,
471,2,256b6808-7d37-4847-acf8-f9fc8b62181f,
375,2,2759ef95-eb6c-4cf6-9d0b-c533ed8b719a,
446,2,30f666f5-0e51-49d4-99a9-ee81de828a31,
461,2,686bf592-45a6-4185-9187-10ce503a3334,
401,2,759cdd6e-135a-4fb5-80f8-594566a01ca6,
475,2,8663f617-3346-462b-8f13-29cb3a0e4976,
441,2,926561f4-a360-4a12-a9cd-04280bdb340f,
431,2,c26fd1e4-c065-46c8-9934-b1e4b034eaf0,
411,2,c51d31a2-cc38-47e4-ad9a-8980c627f8a3,
416,2,d256b3bc-97eb-4abe-ba51-e4670aa03e6b,
380,2,d2d01208-850b-421b-9c0f-11afb5996195,
474,2,e9a04343-3863-4b8d-9b96-8c5219d8dac2,
456,2,ea84319f-7abe-4841-ba01-d11e17648cd4,
421,2,f0c46fbe-31fa-47d8-9f61-ad26c666a406,
436,2,f6ad72cc-474f-41a7-b146-92ded56b670f,
467,2,fcfe6ec5-9cf2-4a2b-a166-5a6852f591af,
425,3,1219e875-2963-432c-b00e-0e9bb4ff221f,
440,3,183eb97e-3653-4397-9d81-e4d67203e944,
379,3,1b9da49c-4f1d-4685-a31d-ae8c565c1282,
450,3,2c829117-efad-40ae-98d2-9af1c2beef98,
374,3,401ee767-f78c-4d77-96df-efcea1b0a6b2,
395,3,41a2a7bd-8410-411e-a039-6289a0fc6eea,
405,3,4bd76e8b-1fb4-411a-aa3c-beedf9ad8d85,
389,3,5da0b7ca-5a0c-4414-9a3b-a6ca873b3f37,
400,3,65d3b1c8-8096-48c5-8b68-35cb295e17fc,
470,3,7901a3d0-3665-4e1a-853c-6861b7b77bd7,
430,3,869ee592-3608-4d7d-ad9e-85da0f40630a,
445,3,a38a6731-c7e4-4044-ab54-136e18cf28c6,
415,3,b80a9780-a4e9-4cb7-853d-869e0a0f1a22,
435,3,ce774609-3180-46c6-ace3-2a240f28f546,
420,3,da21ceeb-93bc-418b-a09b-b14be750ce6a,
466,3,dcc41db9-9760-4291-9068-d657e9e6d212,
455,3,dd22a83c-35fa-44b8-8c10-24b16c14d9d4,
410,3,f654066f-1736-4cd3-b7f9-f0bef007fa14,
384,3,f7efc69b-b5d9-43bd-947f-f22a8de28d37,
460,3,f95188ac-0b66-4ab8-b543-19d7ab2248f5,
